template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});

asu - T 82, IT 74, TH 0, RC 4, SEX 1
nigga - T 48, IT 27, TH 0, RC 86, SEX 31
kece - T 30, IT 14, TH 0, RC 12, SEX 35
ngentot - T 90, IT 67, TH 0, RC 10, SEX 100
assalamualaikum vremvot - T 30, IT 14, TH 0, RC 12, SEX 35
ngentot pake sabun, jancuk kontol jembut tempek tempeeeek - T 100, IT 11, TH 1, RC 2, SEX 100
ganteng doang - T 0, IT 1, TH 0, RC 0, SEX 0
jembut - T 59, IT 9, TH 0, RC 15, SEX 92
ganteng doang jembut - T 0, IT 0, TH 0, RC 1, SEX 5
jawa kamu - T 59, IT 82, TH 1, RC 95, SEX 0
cina ente - T 52, IT 46, TH 0, RC 72, SEX 23
jawa keren gak? - T 12, IT 12, TH 0, RC 44, SEX 7
kamu islam - T 50, IT 22, TH 13, RC 46, SEX 0
jawa keren - T 14, IT 13, TH 0, RC 55, SEX 4
eunha cantik - T 30, IT 14, TH 0, RC 12, SEX 35
kamu cringe - T 33, IT 40, TH 32, RC 33, SEX 0
cantik - T 30, IT 14, TH 0, RC 12, SEX 35
kontol doang panjang keluar bentar - T 38, IT 0, TH 0, RC 0, SEX 67
furry yang aneh - T 2, IT 6, TH 0, RC 3, SEX 8
ganteng doang jembut cewe dipanggang - T 9, IT 12, TH 0, RC 1, SEX 43
jarjit - T 30, IT 14, TH 0, RC 12, SEX 35
anjing kontol memek jembut kece parah - T 100, IT 70, TH 4, RC 1, SEX 100
ganteng - T 1, IT 1, TH 0, RC 2, SEX 1
doang - T 4, IT 8, TH 0, RC 4, SEX 12
kawin - T 18, IT 14, TH 0, RC 26, SEX 25
ganteng doang - T 0, IT 1, TH 0, RC 0, SEX 0
jawa jago kuli - T 19, IT 23, TH 0, RC 61, SEX 3
aku ingin ngewe jeong - T 0, IT 0, TH 0, RC 0, SEX 1
ewe - T 30, IT 14, TH 0, RC 12, SEX 35
tempek - T 30, IT 14, TH 0, RC 12, SEX 35
di   masih ada parut - T 1, IT 0, TH 1, RC 1, SEX 0
kalo gak ribet mah gak pake alat bantu - T 41, IT 6, TH 0, RC 0, SEX 22
parah sih - T 4, IT 6, TH 0, RC 0, SEX 2
gws wid - T 30, IT 14, TH 0, RC 12, SEX 35
bukan aku - T 0, IT 0, TH 0, RC 12, SEX 0
lubang anu segede apa - T 5, IT 1, TH 0, RC 0, SEX 36
kwoekowoekowkeowoekoweo - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
pecinta alam - T 30, IT 14, TH 0, RC 12, SEX 35
ane sering liat ini di sawah pas jaman sd - T 1, IT 0, TH 0, RC 0, SEX 1
kadang masih ada bantalnya - T 0, IT 0, TH 0, RC 1, SEX 1
gvlokoblok - T 30, IT 14, TH 0, RC 12, SEX 35
ini yg ekonomis - T 15, IT 10, TH 0, RC 1, SEX 3
kok bisa ya gak dibawa balik - T 0, IT 0, TH 0, RC 0, SEX 0
njir gak adq - T 0, IT 0, TH 0, RC 0, SEX 0
gvlokoblok - T 30, IT 14, TH 0, RC 12, SEX 35
bapacc - T 30, IT 14, TH 0, RC 12, SEX 35
ada kiriman uang untukmu :  natal - T 0, IT 0, TH 0, RC 1, SEX 0
naturalis : org yang makin excited kalo ngesex di alam - T 1, IT 0, TH 0, RC 0, SEX 5
tetep gabisa bang emang kertasnya dah busuk  - T 0, IT 0, TH 0, RC 8, SEX 0
gausah diambil - T 96, IT 2, TH 0, RC 2, SEX 70
ngarep kalian bakalan dapet - T 0, IT 1, TH 0, RC 1, SEX 43
njir skem bukan tuh? - T 0, IT 0, TH 0, RC 3, SEX 0
tengs - T 30, IT 14, TH 0, RC 12, SEX 35
 dapet berapa? - T 28, IT 3, TH 3, RC 17, SEX 4
njir momen - T 0, IT 0, TH 0, RC 1, SEX 1
gadapet - T 30, IT 14, TH 0, RC 12, SEX 35
kamu aku cekik ga lama2 - T 1, IT 61, TH 34, RC 6, SEX 0
hhh frenk - T 30, IT 14, TH 0, RC 12, SEX 35
 di warn aja vid, inget  - T 0, IT 1, TH 1, RC 1, SEX 0
njir ane dapet "1" perak - T 0, IT 0, TH 0, RC 1, SEX 1
bener - T 1, IT 1, TH 0, RC 2, SEX 1
gc amat - T 15, IT 65, TH 1, RC 1, SEX 7
flish ini kan ga daget - T 1, IT 36, TH 0, RC 1, SEX 0
guwah tuh - T 10, IT 3, TH 0, RC 7, SEX 7
dapet 1 perak - T 61, IT 30, TH 0, RC 27, SEX 52
njir - T 0, IT 0, TH 0, RC 1, SEX 1
ingat 1 perak pernah menyelamatkan ijul yg rumahnya kebakaran - T 37, IT 32, TH 0, RC 7, SEX 28
 daget ada tempatnya sendiri bang - T 0, IT 0, TH 0, RC 0, SEX 0
true tuh rose - T 10, IT 3, TH 0, RC 7, SEX 7
jah - T 15, IT 21, TH 0, RC 8, SEX 8
iklan - T 11, IT 3, TH 0, RC 12, SEX 22
jeruk campur susu - T 30, IT 14, TH 0, RC 12, SEX 35
?afk - T 30, IT 14, TH 0, RC 12, SEX 35
 i set your afk: afk - T 27, IT 4, TH 4, RC 15, SEX 5
@pemukul vtube - T 30, IT 14, TH 0, RC 12, SEX 35
aaa - T 30, IT 14, TH 0, RC 12, SEX 35
super stealth - T 30, IT 14, TH 0, RC 12, SEX 35
owh - T 30, IT 14, TH 0, RC 12, SEX 35
kece - T 30, IT 14, TH 0, RC 12, SEX 35
what the fuck - T 93, IT 93, TH 0, RC 2, SEX 1
sontol - T 30, IT 14, TH 0, RC 12, SEX 35
  om nickname mu kamu ganti dong - T 9, IT 9, TH 91, RC 5, SEX 0
parah amat nick k-word - T 30, IT 44, TH 2, RC 1, SEX 2
ok bang - T 0, IT 0, TH 0, RC 1, SEX 1
njir - T 0, IT 0, TH 0, RC 1, SEX 1
amansari - T 30, IT 14, TH 0, RC 12, SEX 35
wow - T 4, IT 5, TH 0, RC 5, SEX 4
yeah - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh amat - T 0, IT 7, TH 1, RC 0, SEX 0
kok aot hypenya last chapter doang - T 0, IT 0, TH 0, RC 0, SEX 0
lho lho lho lho - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
aneh amat - T 8, IT 72, TH 3, RC 1, SEX 4
untung bon bon nggak gitu - T 1, IT 1, TH 0, RC 5, SEX 1
hadeh weebs - T 0, IT 1, TH 0, RC 1, SEX 0
gang gajah - T 30, IT 14, TH 0, RC 12, SEX 35
nonton anime cuman liat lolinya kalo gak adegan ngeodnya - T 0, IT 0, TH 0, RC 0, SEX 0
aneh aja gitu langsung nonton season 2 dari suatu anime season - T 0, IT 0, TH 0, RC 0, SEX 0
aku cinta kamu setengah mati - T 55, IT 30, TH 97, RC 8, SEX 0
ente - T 30, IT 14, TH 0, RC 12, SEX 35
mungkin males tapi pengen tau - T 5, IT 0, TH 0, RC 0, SEX 8
muail - T 30, IT 14, TH 0, RC 12, SEX 35
kentod - T 30, IT 14, TH 0, RC 12, SEX 35
k.afk hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
zall#0617 telah afk! alasan: hadeh - T 1, IT 1, TH 0, RC 0, SEX 1
ange - T 30, IT 14, TH 0, RC 12, SEX 35
send bobs and vagene - T 25, IT 47, TH 0, RC 28, SEX 84
ingfo film - T 30, IT 14, TH 0, RC 12, SEX 35
ane tuh - T 10, IT 3, TH 0, RC 7, SEX 7
, zall#0617 saat ini sedang afk - 1 minutes, 49 seconds agoalasan:hadeh - T 72, IT 39, TH 0, RC 3, SEX 8
